scenario,scenario_label,roof_scenario,roof_label,depot_id,depot_name,grid_cap_kw,pv_cap_max_kwp,installed_pv_kwp,installed_bess_energy_kwh,installed_bess_power_kw,grid_energy_kwh,peak_grid_kw,bus_charge_kwh,unserved_kwh,pv_generation_kwh,pv_used_kwh,pv_curtailment_pct,bess_charge_kwh,bess_discharge_kwh,energy_cost_cop,co2_kg,objective_cop,termination_condition,solver,solver_manager,capacity_mode
S5,Depot and nearby rooftops,R1,"Internal depot roofs, conservative",PZ052,Perdomo,7605.0,115.17133957979686,0.0,-0.0,0.0,40793.0,2719.533333333336,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,8795060.197393827,7220.361,11514593.530727161,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ001,Las Mercedes,3120.0,16.144793662568954,0.0,-0.0,-0.0,23478.0,1565.2000000000003,23478.0,0.0,0.0,0.0,0.0,0.0,0.0,5061908.251768986,4155.606,6627108.251768986,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ006,Perdomo I,487.5,84.90565407903247,0.0,-0.0,-0.0,3354.0,223.60000000000002,3354.0,0.0,0.0,0.0,0.0,0.0,0.0,723129.7502527124,593.6580000000001,946729.7502527124,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ039,El Refugio,4095.0,176.89707293923104,0.0,-0.0,0.0,27735.0,1733.4375,27735.0,0.0,0.0,0.0,0.0,0.0,0.0,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ040,Aeropuerto,4290.0,186.823450319716,0.0,-0.0,0.0,28956.0,1930.4000000000012,28956.0,0.0,0.0,0.0,0.0,0.0,0.0,6242977.056743451,5125.2119999999995,8173377.056743451,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ041,Usme,4485.0,29.233544549791347,29.233544549791347,-0.0,0.0,33507.06502870907,1971.0038252181823,33615.25,0.0,108.18497129092972,108.18497129092972,0.0,0.0,0.0,7419443.46074469,5930.750510081505,9414731.150914917,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.5,2332.566666666667,34988.5,0.0,0.0,0.0,0.0,0.0,0.0,7543597.2768983375,6192.9645,9876163.943565004,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41628.99999999999,2775.2666666666673,41628.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,8975303.629478281,7368.332999999999,11750570.296144947,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.49999999999,2537.766666666667,38066.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,8207220.8223001985,6737.770499999998,10744987.488966865,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ050,Usme II,7702.5,424.3185570825893,0.0,-0.0,0.0,46654.5,3110.300000000001,46654.5,0.0,0.0,0.0,0.0,-4.547473508864641e-13,-4.1040948417503385e-13,10058812.442804163,8257.846499999998,13169112.442804163,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R2,"Internal depot roofs, medium",PZ052,Perdomo,7605.0,184.274143327675,0.0,-0.0,0.0,40793.0,2719.533333333336,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,8795060.197393827,7220.361,11514593.530727161,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ001,Las Mercedes,3120.0,22.199091286032314,0.0,-0.0,-0.0,23478.0,1565.2000000000003,23478.0,0.0,0.0,0.0,0.0,0.0,0.0,5061908.251768986,4155.606,6627108.251768986,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ006,Perdomo I,487.5,116.74527435866965,0.0,-0.0,-0.0,3354.0,223.60000000000002,3354.0,0.0,0.0,0.0,0.0,0.0,0.0,723129.7502527124,593.6580000000001,946729.7502527124,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ039,El Refugio,4095.0,243.2334752914427,0.0,-0.0,0.0,27735.0,1733.4375,27735.0,0.0,0.0,0.0,0.0,0.0,0.0,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ040,Aeropuerto,4290.0,256.8822441896095,0.0,-0.0,0.0,28956.0,1930.4000000000012,28956.0,0.0,0.0,0.0,0.0,0.0,0.0,6242977.056743451,5125.2119999999995,8173377.056743451,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ041,Usme,4485.0,40.1961237559631,40.1961237559631,-0.0,0.0,33466.49566447496,1968.6173920279439,33615.24999999999,0.0,148.75433552502835,148.75433552502835,0.0,0.0,0.0,7410460.217840084,5923.569732612068,9412467.924177086,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ047,Venecia,5752.5,0.0,0.0,0.0,0.0,34988.5,2332.566666666667,34988.5,0.0,0.0,0.0,0.0,0.0,0.0,7543597.2768983375,6192.9645,9876163.943565004,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ048,Venecia,7117.5,0.0,0.0,0.0,0.0,41628.99999999999,2775.2666666666673,41628.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,8975303.629478281,7368.332999999999,11750570.296144947,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ049,Escritorio IV,13600.0,0.0,0.0,0.0,0.0,38066.49999999999,2537.766666666667,38066.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,8207220.8223001985,6737.770499999998,10744987.488966865,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ050,Usme II,7702.5,583.4380159885603,0.0,-0.0,0.0,46654.5,3110.300000000001,46654.5,0.0,0.0,0.0,0.0,-4.547473508864641e-13,-4.1040948417503385e-13,10058812.442804163,8257.846499999998,13169112.442804163,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R3,"Internal depot roofs, high",PZ052,Perdomo,7605.0,253.37694707555312,0.0,-0.0,0.0,40793.0,2719.533333333336,40793.0,0.0,0.0,0.0,0.0,0.0,0.0,8795060.197393827,7220.361,11514593.530727161,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ001,Las Mercedes,3120.0,11758.617553739366,0.0,7.773899703304454e-13,0.0,23477.999999999993,1565.2,23477.999999999993,0.0,8.183052319267846e-13,8.183052319267846e-13,0.0,1.8260555940020515e-12,1.606603854768333e-12,5061908.251768984,4155.605999999999,6627108.251768984,optimal,appsi_highs,local,optimized
