depot_id,buffer_m,building_count,building_roof_area_m2,internal_carport_area_m2,pv_cap_conservative_kwp,pv_cap_medium_kwp,pv_cap_high_kwp,pv_cap_carport_kwp,roof_method,overlap_warning
PZ039,1000,21863,1554178.6328791447,0.0,77708.93164395724,124334.2906303316,170959.64961670595,170959.64961670595,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ039,2000,50173,5469464.063430185,0.0,273473.20317150926,437557.1250744148,601641.0469773205,601641.0469773205,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ040,0,16,2335.2931289964495,5120.636109028696,116.76465644982248,186.823450319716,256.8822441896095,973.7712994536269,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ040,500,5493,523584.39332279784,0.0,26179.219666139892,41886.75146582383,57594.28326550777,57594.28326550777,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ040,1000,14852,1493593.0639145896,0.0,74679.65319572948,119487.44511316717,164295.23703060488,164295.23703060488,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ040,2000,63243,6237106.096755649,0.0,311855.30483778246,498968.48774045194,686081.6706431215,686081.6706431215,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ041,0,4,365.4193068723918,7163.899122254621,18.27096534361959,29.233544549791347,40.1961237559631,1043.1420008716102,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ041,500,1297,87504.3952400762,0.0,4375.2197620038105,7000.351619206097,9625.483476408384,9625.483476408384,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ041,1000,3006,200366.7428069132,0.0,10018.33714034566,16029.339424553058,22040.341708760454,22040.341708760454,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ041,2000,4353,294220.38026888133,0.0,14711.019013444067,23537.63042151051,32364.24182957695,32364.24182957695,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ047,0,0,0.0,7130.376037751075,0.0,0.0,0.0,998.2526452851506,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ047,500,1620,248429.0591218276,0.0,12421.45295609138,19874.324729746208,27327.196503401035,27327.196503401035,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ047,1000,4002,929185.9503003459,0.0,46459.2975150173,74334.87602402769,102210.45453303806,102210.45453303806,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ047,2000,13694,3016805.1892136317,0.0,150840.25946068158,241344.41513709055,331848.57081349957,331848.57081349957,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ048,0,0,0.0,6972.81253558046,0.0,0.0,0.0,976.1937549812643,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ048,500,963,256617.98452776106,0.0,12830.899226388054,20529.43876222089,28227.978298053717,28227.978298053717,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ048,1000,3606,937866.4302943007,0.0,46893.32151471503,75029.31442354406,103165.3073323731,103165.3073323731,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ048,2000,13679,3099657.478787672,0.0,154982.8739393836,247972.59830301377,340962.32266664394,340962.32266664394,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
