depot_id,depot_name,operator_family,concesionario_operacion,zone,zone_norm,component,assignment_method,assignment_confidence,route_code,route_label,route_total_validations,operator_total_validations,route_share_operator,route_bus_count_proxy,route_daily_energy_kwh_proxy,gtfs_route_id_match,gtfs_short_name_match,gtfs_any_match,source_note
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10560,GL517,8517.318181818182,251531.9090909091,0.03386178005248566,1.0497151816270556,189.47359028368354,False,False,False,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10561,E16A,6935.545454545455,251531.9090909091,0.027573223133446654,0.8547699171368462,154.28597004320076,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10563,HA642,2035.409090909091,251531.9090909091,0.008092051216346671,0.2508535877067468,45.279072581067794,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10566,10-6,3268.909090909091,251531.9090909091,0.01299600159170118,0.4028760493427366,72.71912690636395,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10567,12-1,2426.2272727272725,251531.9090909091,0.009645803116973049,0.2990198966261645,53.973091341022695,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10568,GG514,3766.318181818182,251531.9090909091,0.01497352043893943,0.4641791336071224,83.78433361608559,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10570,HH622,2034.3636363636363,251531.9090909091,0.008087894866763696,0.25072474086967456,45.25581572697626,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10649,GH543,1420.090909090909,251531.9090909091,0.005645768420489574,0.1750188210351768,31.590897196849415,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10663,HL602,7142.636363636364,251531.9090909091,0.028396541772578287,0.8802927949499268,158.8928494884618,False,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
PZ052,Perdomo,ETIB,Empresa de Transporte integrado de Bogotá – ETIB S.A.S.,Bosa,BOSA,Zonal,nearest_southwest_electric_depot_proxy,low,10664,GK502,2420.0454545454545,251531.9090909091,0.009621226441178075,0.2982580196765203,53.83557255161192,True,True,True,Operator-route shares from March 2026 SITP zonal validation profiles.
